,first_name,last_name,sex,nation,adress,province_code,postal_code,email,birthday,age,marital_status,income_per_month,last_education
295,Nugroho,,M,Indonesian,"MENDOGO, NGIMBANG, LAMONGAN",35.0,62273,syukrieu@usanetmail.com,07 September 1997,24.0,divorced,Rp.49150000,Master's degree
296,Fauziah,,F,Indonesian,"BILATO, BILATO, GORONTALO",,96264,fauziahlusillale6@ubbi.com,25 August 1996,25.0,single,Rp36700000,Master's degree
297,Rustam,Asef,M,Indonesian,"PATTANETEANG, TOMPOBULU, BANTAENG",,92461,asef11@st-davids.net,12 March 1985,37.0,married,Rp.8100000,S1
298,Boentoro,Hakim,M,Indonesian,"MEKONG, TEBING TINGGI BARAT, KEPULAUAN MERANTI",,28753,boentorohakimw@fusemail.com,01 July 1993,,single,Rp43700000,S-1
299,Prijono,,M,Indonesian,"PERKEBUNAN UPAH, BENDAHARA, ACEH TAMIANG",,24472,prijonochairule@schoolemail.com,27 September 1995,26.0,single,Rp.25650000,S-1
300,Kusumo,,M,Indonesian,"TATABA, BUKO, BANGGAI KEPULAUAN",,94881,junaedi@gocubs.com,10 June 1988,,single,Rp.25200000,Bachelor's degree
301,Noerdin,Adityas,,Indonesian,"TANGLAD, NUSAPENIDA, KLUNGKUNG",,80771,adityas#wronghead.com,13 October 1985,36.0,single,Rp.5900000,Bachelor's degree
302,Azizul,Muammar,M,Indonesian,"KOTA RAJA, AMUNTAI SELATAN, HULU SUNGAI UTARA",,71452,azizulp7@auctioneer.net,18 July 1988,33.0,married,Rp3100000,Doctorate degree
303,Fachriah,Fitriyana,F,Indonesian,"CIRANGRANG, BABAKAN CIPARAY, BANDUNG",,40227,dnkjf@mail2downtown.com,20 January 1997,25.0,married,Rp19900000,S2
304,Bagoes,Hanafi,M,Indonesian,"RANOAKO, TOULUAAN SELATAN, MINAHASA TENGGARA",71.0,95998,hanaficm@our-computer.com,22 November 1996,25.0,menikah,Rp48700000,S1
305,Rizqiyaningsih,Hayu,F,Indonesian,"SARADAN, PEMALANG, PEMALANG",,52319,hayurizqiyaningsihe94@outlook.cl,31 December 1986,35.0,menikah,Rp11750000,Master's degree
306,Jusuf,Bethari,M,Indonesian,"SARIREJO, BOGOREJO, BLORA",,58262,jusufp@hellokitty.com,22 June 1980,41.0,married,Rp26500000,Master's degree
307,Khrisna,,M,Indonesian,"LEMBENG, DUSUN SELATAN, BARITO SELATAN",,73713,gunturq@unforgettable.com,10 April 1991,31.0,single,Rp.17850000,Bachelor's degree
308,Banyu,,M,Indonesian,"SUKO HARJO, NGAGLIK, SLEMAN",,55581,bonifasiusbanyuh@footard.com,31 March 1988,34.0,married,Rp 35700000,Bachelor's degree
309,Meilanie,Raihanah,F,Indonesian,"GUNTURHARJO, PARANGGUPITO, WONOGIRI",,57678,raihanahmeilanie1@servemymail.com,17 August 1983,,divorced,Rp.38200000,Bachelor's degree
310,Ichsan,Fransiskos,M,Indonesian,"KENTONG, GLAGAH, LAMONGAN",,62292,ichsanfransiskosd@bobmail.info,22 March 1981,41.0,menikah,Rp.34050000,Bachelor's degree
311,Maimunah,Suriawati,,Indonesian,"LABUNG, TAPIN TENGAH, TAPIN",,71161,suriawatin@scarlet.nl,16 January 1993,nan,single,Rp30250000,S1
312,Suparman,Zulhelmi,M,Indonesian,"MOKMER, BIAK KOTA, BIAK NUMFOR",,98118,zulhelmisuparman7xk%munich.com,02 August 1984,-37.0,married,Rp 1750000,High school graduate
313,Khaerunnisa,Batari,F,Indonesian,"MAWALI, LEMBEH UTARA, BITUNG",71.0,95555,batarilg@aol.com,13 August 1989,32.0,lajang,Rp1450000,S-1
314,Amir,Kamaludin,M,Indonesian,"TANJUNG PUTRI, ARUT SELATAN, KOTAWARINGIN BARAT",,74117,amirvu@cox.net,14 September 1987,34.0,divorced,Rp 36900000,Doctorate degree
